date,SPX,FTSE,DAX,N225,HSI,CAC
2005-11-11,0.0030545346,0.0076703416,0.0149934101,0.0052681145,0.0073304935,0.0127224544
2005-11-14,-0.0007774726,0.0008965805,0.0003300448,-0.0027565784,-0.0075376428,0.0026363908
2005-11-15,-0.0038500194,-0.0055575690,0.0035699434,-0.0017193567,-0.0001421839,-0.0011652965
2005-11-16,0.0017900189,-0.0017648536,-0.0057038011,0.0056132472,0.0015812699,-0.0068278662
2005-11-17,0.0094135755,0.0055248619,0.0035935054,0.0170010677,0.0093812535,0.0024490193
2005-11-18,0.0044013280,0.0071245242,0.0046629588,0.0146636939,0.0064471172,0.0073067628
2005-11-21,0.0052712602,-0.0001818546,0.0091948596,0.0039191069,0.0001511759,0.0066172916
2005-11-22,0.0050842770,0.0035104846,0.0007949452,0.0018998507,0.0000053796,-0.0012144271
2005-11-25,0.0055660107,0.0011961881,0.0037779443,0.0051650851,0.0131549063,0.0042939833
2005-11-28,-0.0085078171,-0.0083999971,-0.0034037845,0.0137071439,0.0012286782,-0.0054711513
2005-11-29,0.0000159206,0.0024829477,0.0044218564,-0.0039527904,-0.0047178963,0.0029331175
2005-11-30,-0.0063619303,-0.0123474421,-0.0011693627,-0.0037212567,-0.0060963192,-0.0046461274
2005-12-01,0.0121571083,0.0115982999,0.0140851665,0.0173713688,0.0087627637,0.0151179339
2005-12-02,0.0003241257,0.0076557116,0.0078686106,0.0192392591,0.0087834712,0.0056163623
2005-12-05,-0.0023634793,-0.0032018587,-0.0077487654,0.0084109278,-0.0027341139,-0.0025651391
2005-12-06,0.0012756502,0.0051538732,0.0064536052,-0.0082262968,-0.0110965073,0.0057327012
2005-12-07,-0.0050090657,-0.0018054453,-0.0064329489,0.0039732065,0.0096286836,-0.0035534329
2005-12-08,-0.0012168489,0.0004160565,0.0037974083,-0.0194579540,-0.0169006198,0.0020062090
2005-12-09,0.0028108910,-0.0024769386,-0.0008739050,0.0145349546,0.0021069475,-0.0019101806
2005-12-12,0.0008417372,-0.0028817745,0.0036121940,0.0217248318,0.0049556069,0.0026003201
2005-12-13,0.0055536600,0.0010361166,0.0017108970,0.0025516819,-0.0027882513,0.0043375682
2005-12-14,0.0041895302,0.0025239508,-0.0044291488,-0.0199178056,0.0022512550,-0.0039523171
2005-12-15,-0.0014143099,-0.0046730348,0.0017137262,-0.0135884484,0.0055260637,-0.0003657788
2005-12-16,-0.0028482818,0.0066056984,0.0109218844,-0.0053341922,-0.0019396987,0.0066914363
2005-12-19,-0.0058390167,0.0014823391,-0.0006500189,0.0143945920,0.0101850976,-0.0020300723
2005-12-20,-0.0002381491,0.0014621643,0.0011999450,0.0162284127,-0.0009036308,0.0018360755
2005-12-21,0.0025166669,0.0071198112,0.0075850133,0.0202228306,0.0034444864,0.0104029731
2005-12-22,0.0042207777,0.0017181691,0.0001945081,-0.0010152044,-0.0025549291,-0.0000947299
2005-12-28,-0.0078462221,0.0046095774,0.0090529056,0.0158857258,-0.0053344359,0.0010459294
2005-12-29,-0.0029805192,0.0027566338,0.0020983773,0.0092370141,-0.0037049331,0.0033635137
2005-12-30,-0.0048867243,-0.0034584894,-0.0092185718,-0.0142417803,-0.0112431721,-0.0120890508
2006-01-04,0.0201635206,0.0170499566,0.0213304014,0.0155237838,0.0217545399,0.0261471953
2006-01-05,0.0000157206,-0.0040947576,-0.0012836386,0.0039011671,0.0046756601,-0.0007089308
2006-01-06,0.0093994180,0.0071337518,0.0035874073,0.0001730127,0.0048005974,0.0066307059
2006-01-10,0.0032984483,-0.0075020066,-0.0075157983,-0.0184963128,0.0146939035,-0.0010724401
2006-01-11,0.0034815440,0.0075060112,0.0069485334,0.0148372021,0.0052003978,0.0058742223
2006-01-12,-0.0062742391,0.0006455893,0.0016699674,0.0049866570,0.0043761268,-0.0000511196
2006-01-13,0.0012051745,-0.0042195903,-0.0106529512,0.0005934724,0.0043640177,-0.0081203473
2006-01-17,-0.0036345879,-0.0021012082,-0.0041818916,-0.0394409618,-0.0134133479,-0.0089453421
2006-01-18,-0.0038973286,-0.0061940349,-0.0118220512,-0.0294047812,-0.0060984215,-0.0072912984
2006-01-19,0.0055636733,0.0052086090,0.0065293788,0.0231468892,0.0122219104,0.0088011755
2006-01-20,-0.0183263152,-0.0036535327,-0.0150657774,0.0000261308,-0.0005322030,-0.0084356264
2006-01-23,0.0018469874,-0.0020273606,-0.0000560485,-0.0214083370,-0.0125979784,-0.0045019035
2006-01-24,0.0024054368,-0.0047872420,-0.0026960487,0.0187647821,0.0042548828,-0.0007723943
2006-01-25,-0.0017207360,0.0125315240,0.0173949801,0.0001348563,-0.0006555242,0.0089884796
2006-01-26,0.0072349543,0.0031905539,0.0224467101,0.0153357313,-0.0000205753,0.0178501397
2006-01-27,0.0077639991,0.0112186254,0.0177529934,0.0358479300,0.0150172861,0.0164215625
2006-02-01,-0.0009815301,0.0025575955,0.0140081425,0.0011791832,-0.0006881069,0.0086329416
2006-02-02,-0.0090607079,-0.0093595374,-0.0134339103,0.0139842040,-0.0032148654,-0.0143017444
2006-02-03,-0.0053586106,0.0020879370,0.0013310711,-0.0030465876,-0.0166941836,0.0019622844
2006-02-06,0.0007832015,0.0022745990,0.0017075239,0.0052893782,0.0076689027,-0.0006015552
2006-02-07,-0.0080947258,-0.0044349141,0.0010835319,-0.0015983947,-0.0019970212,0.0001641593
2006-02-08,0.0086628691,-0.0037759636,-0.0011475159,-0.0268112439,-0.0092523842,-0.0081695151
2006-02-09,-0.0014774978,0.0146197805,0.0136365031,0.0102619997,0.0026011912,0.0123920662
2006-02-10,0.0025399681,-0.0076951709,-0.0073489400,-0.0110610398,0.0008123116,-0.0090643190
2006-02-13,-0.0032596981,0.0051005190,0.0096220556,-0.0233838046,-0.0073810916,0.0094770406
2006-02-14,0.0100328176,-0.0002071624,0.0012281826,0.0193485663,0.0070683016,0.0008028428
2006-02-15,0.0035044026,-0.0001380807,0.0001683407,-0.0155725710,0.0001906221,-0.0054924679
2006-02-16,0.0073281288,0.0064577229,0.0043161494,0.0069566953,0.0017908093,0.0079041933
2006-02-17,-0.0016597238,0.0029680203,0.0010761291,-0.0205825555,0.0016057692,0.0054111543
2006-02-21,-0.0032705331,0.0019670897,0.0009593784,0.0115499927,0.0097927653,-0.0016139648
2006-02-22,0.0075134755,0.0025094673,0.0105188068,-0.0071192564,0.0005426097,0.0099500434
2006-02-23,-0.0037751357,-0.0061984713,-0.0007130899,0.0199165956,0.0113081169,-0.0002399954
2006-02-24,0.0012735109,0.0041980809,0.0022038957,0.0003609910,0.0027522181,0.0066582264
2006-02-27,0.0036372205,0.0026277455,0.0075560296,0.0056539900,0.0059182359,0.0012948145
